Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  187 | loss +0.0409 | reward 0.053 | solved   0.0%
step  188 | loss +0.0357 | reward 0.103 | solved   6.2%
step  189 | loss +0.0177 | reward 0.091 | solved   0.0%
step  190 | loss +0.0322 | reward 0.053 | solved   0.0%
step  191 | loss +0.0085 | reward 0.078 | solved   0.0%
step  192 | loss +0.0465 | reward 0.091 | solved   0.0%
step  193 | loss +0.0836 | reward 0.081 | solved   0.0%
step  194 | loss +0.0674 | reward 0.109 | solved   6.2%
step  195 | loss -0.0393 | reward 0.072 | solved   0.0%
step  196 | loss +0.0317 | reward 0.053 | solved   0.0%
step  197 | loss +0.0528 | reward 0.053 | solved   0.0%
step  198 | loss +0.0036 | reward 0.050 | solved   0.0%
step  199 | loss +0.0300 | reward 0.069 | solved   0.0%
step  200 | loss +0.0040 | reward 0.050 | solved   0.0%
step  201 | loss +0.0683 | reward 0.056 | solved   0.0%
step  202 | loss +0.0781 | reward 0.081 | solved   0.0%
step  203 | loss -0.0189 | reward 0.047 | solved   0.0%
step  204 | loss +0.0048 | reward 0.050 | solved   0.0%
step  205 | loss -0.0318 | reward 0.059 | solved   0.0%
step  206 | loss +0.0025 | reward 0.050 | solved   0.0%
step  207 | loss +0.0454 | reward 0.050 | solved   0.0%
step  208 | loss +0.4311 | reward 0.084 | solved   0.0%
step  209 | loss +0.0103 | reward 0.047 | solved   0.0%
step  210 | loss +0.0570 | reward 0.053 | solved   0.0%
step  211 | loss +0.0595 | reward 0.053 | solved   0.0%
step  212 | loss -0.0439 | reward 0.059 | solved   0.0%
step  213 | loss +0.0836 | reward 0.056 | solved   0.0%
step  214 | loss -0.0676 | reward 0.066 | solved   0.0%
step  215 | loss +0.0508 | reward 0.088 | solved   0.0%
step  216 | loss +0.1144 | reward 0.066 | solved   0.0%
step  217 | loss -0.0719 | reward 0.047 | solved   0.0%
step  218 | loss +0.0008 | reward 0.059 | solved   0.0%
step  219 | loss -0.1456 | reward 0.072 | solved   0.0%
step  220 | loss +0.0057 | reward 0.081 | solved   0.0%
step  221 | loss -0.0481 | reward 0.062 | solved   0.0%
step  222 | loss -0.0167 | reward 0.053 | solved   0.0%
step  223 | loss +0.0351 | reward 0.097 | solved   0.0%
step  224 | loss +0.0012 | reward 0.081 | solved   0.0%
step  225 | loss -0.0576 | reward 0.097 | solved   0.0%
step  226 | loss +0.1062 | reward 0.059 | solved   0.0%
step  227 | loss +0.0461 | reward 0.050 | solved   0.0%
step  228 | loss +0.0681 | reward 0.053 | solved   0.0%
step  229 | loss +0.0357 | reward 0.091 | solved   0.0%
step  230 | loss +0.1022 | reward 0.103 | solved   6.2%
step  231 | loss +0.0088 | reward 0.094 | solved   0.0%
step  232 | loss -0.0595 | reward 0.066 | solved   0.0%
step  233 | loss +0.0775 | reward 0.081 | solved   0.0%
step  234 | loss +0.0447 | reward 0.050 | solved   0.0%
