Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
config | reward=dense | steps=1500 | group=8 | bsz=2 | lr=3e-06 | max_new_tokens=128 | out=model_dense
step  158 | loss -0.0162 | reward 0.116 | solved   0.0%
step  159 | loss +0.0069 | reward 0.060 | solved   0.0%
step  160 | loss -0.0893 | reward 0.071 | solved   0.0%
step  161 | loss -0.0056 | reward 0.070 | solved   0.0%
step  162 | loss +0.0183 | reward 0.087 | solved   0.0%
step  163 | loss +0.0057 | reward 0.136 | solved   6.2%
step  164 | loss +0.0001 | reward 0.098 | solved   0.0%
step  165 | loss +0.0046 | reward 0.230 | solved   6.2%
step  166 | loss +0.0084 | reward 0.047 | solved   0.0%
step  167 | loss +0.0337 | reward 0.071 | solved   0.0%
step  168 | loss +0.0481 | reward 0.200 | solved   0.0%
step  169 | loss +0.0057 | reward 0.050 | solved   0.0%
step  170 | loss -0.0048 | reward 0.122 | solved   0.0%
step  171 | loss +0.0426 | reward 0.105 | solved   0.0%
step  172 | loss +0.0290 | reward 0.054 | solved   0.0%
step  173 | loss +0.0136 | reward 0.125 | solved   0.0%
step  174 | loss -0.0315 | reward 0.205 | solved   0.0%
step  175 | loss +0.0292 | reward 0.074 | solved   0.0%
step  176 | loss +0.0019 | reward 0.109 | solved   0.0%
step  177 | loss +0.0118 | reward 0.097 | solved   0.0%
step  178 | loss +0.0668 | reward 0.050 | solved   0.0%
step  179 | loss +0.0071 | reward 0.210 | solved   0.0%
step  180 | loss +0.0026 | reward 0.088 | solved   0.0%
step  181 | loss +0.0421 | reward 0.156 | solved   0.0%
step  182 | loss +0.0163 | reward 0.105 | solved   0.0%
step  183 | loss +0.0385 | reward 0.153 | solved   0.0%
step  184 | loss -0.0091 | reward 0.047 | solved   0.0%
step  185 | loss +0.0332 | reward 0.081 | solved   0.0%
step  186 | loss +0.0443 | reward 0.093 | solved   0.0%
step  187 | loss +0.0222 | reward 0.093 | solved   0.0%
step  188 | loss +0.0402 | reward 0.285 | solved   6.2%
step  189 | loss +0.0044 | reward 0.181 | solved   0.0%
step  190 | loss +0.0707 | reward 0.126 | solved   0.0%
step  191 | loss -0.0302 | reward 0.084 | solved   0.0%
step  192 | loss +0.0420 | reward 0.133 | solved   0.0%
step  193 | loss +0.0254 | reward 0.139 | solved   0.0%
step  194 | loss +0.0261 | reward 0.104 | solved   0.0%
step  195 | loss +0.0448 | reward 0.226 | solved  12.5%
step  196 | loss +0.0333 | reward 0.047 | solved   0.0%
step  197 | loss +0.0246 | reward 0.081 | solved   0.0%
step  198 | loss +0.0067 | reward 0.101 | solved   0.0%
