Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  194 | loss +0.0870 | reward 0.069 | solved   0.0%
step  195 | loss +0.0300 | reward 0.075 | solved   0.0%
step  196 | loss +0.0951 | reward 0.059 | solved   0.0%
step  197 | loss +0.0145 | reward 0.075 | solved   0.0%
step  198 | loss +0.0265 | reward 0.081 | solved   0.0%
step  199 | loss +0.0534 | reward 0.062 | solved   0.0%
step  200 | loss +0.2061 | reward 0.066 | solved   0.0%
step  201 | loss +0.0055 | reward 0.084 | solved   0.0%
step  202 | loss +0.0011 | reward 0.062 | solved   0.0%
step  203 | loss +0.0982 | reward 0.078 | solved   0.0%
step  204 | loss +0.1524 | reward 0.119 | solved   6.2%
step  205 | loss +0.0528 | reward 0.072 | solved   0.0%
step  206 | loss +0.0240 | reward 0.066 | solved   0.0%
step  207 | loss +0.0093 | reward 0.066 | solved   0.0%
step  208 | loss -0.0577 | reward 0.075 | solved   0.0%
step  209 | loss -0.0138 | reward 0.066 | solved   0.0%
step  210 | loss +0.0277 | reward 0.072 | solved   0.0%
step  211 | loss +0.0505 | reward 0.172 | solved  12.5%
step  212 | loss -0.0132 | reward 0.081 | solved   0.0%
step  213 | loss +0.1243 | reward 0.056 | solved   0.0%
step  214 | loss +0.0077 | reward 0.084 | solved   0.0%
step  215 | loss +0.0674 | reward 0.094 | solved   0.0%
step  216 | loss +0.0639 | reward 0.062 | solved   0.0%
step  217 | loss +0.1065 | reward 0.072 | solved   0.0%
step  218 | loss +0.0225 | reward 0.094 | solved   0.0%
step  219 | loss +0.0247 | reward 0.062 | solved   0.0%
step  220 | loss +0.0302 | reward 0.097 | solved   0.0%
step  221 | loss -0.0016 | reward 0.072 | solved   0.0%
step  222 | loss +0.1026 | reward 0.059 | solved   0.0%
step  223 | loss +0.0674 | reward 0.088 | solved   0.0%
step  224 | loss +0.0166 | reward 0.075 | solved   0.0%
step  225 | loss +0.0553 | reward 0.188 | solved  12.5%
step  226 | loss +0.1109 | reward 0.081 | solved   0.0%
step  227 | loss +0.0557 | reward 0.134 | solved   6.2%
step  228 | loss -0.0226 | reward 0.059 | solved   0.0%
step  229 | loss +0.0158 | reward 0.088 | solved   0.0%
step  230 | loss +0.0494 | reward 0.141 | solved   6.2%
step  231 | loss +0.0243 | reward 0.069 | solved   0.0%
step  232 | loss +0.2870 | reward 0.072 | solved   0.0%
step  233 | loss -0.0128 | reward 0.134 | solved   6.2%
step  234 | loss -0.0052 | reward 0.075 | solved   0.0%
step  235 | loss +0.0439 | reward 0.069 | solved   0.0%
step  236 | loss -0.0064 | reward 0.062 | solved   0.0%
step  237 | loss -0.0581 | reward 0.134 | solved   6.2%
step  238 | loss +0.0841 | reward 0.088 | solved   0.0%
step  239 | loss +0.0122 | reward 0.091 | solved   0.0%
step  240 | loss +0.0483 | reward 0.075 | solved   0.0%
step  241 | loss +0.1195 | reward 0.078 | solved   0.0%
step  242 | loss +0.0632 | reward 0.088 | solved   0.0%
step  243 | loss +0.0456 | reward 0.088 | solved   0.0%
step  244 | loss +0.0618 | reward 0.078 | solved   0.0%
step  245 | loss +0.0795 | reward 0.066 | solved   0.0%
step  246 | loss -0.0166 | reward 0.072 | solved   0.0%
step  247 | loss -0.0569 | reward 0.075 | solved   0.0%
step  248 | loss +0.0166 | reward 0.072 | solved   0.0%
step  249 | loss +0.0274 | reward 0.084 | solved   0.0%
step  250 | loss +0.0127 | reward 0.147 | solved   6.2%
step  251 | loss +0.0408 | reward 0.097 | solved   0.0%
step  252 | loss -0.0992 | reward 0.081 | solved   0.0%
step  253 | loss -0.0136 | reward 0.081 | solved   0.0%
step  254 | loss +0.0158 | reward 0.194 | solved  12.5%
step  255 | loss +0.0430 | reward 0.066 | solved   0.0%
step  256 | loss -0.0178 | reward 0.091 | solved   0.0%
step  257 | loss +0.0988 | reward 0.094 | solved   0.0%
step  258 | loss +0.0131 | reward 0.097 | solved   0.0%
step  259 | loss +0.1328 | reward 0.075 | solved   0.0%
step  260 | loss +0.1243 | reward 0.081 | solved   0.0%
step  261 | loss +0.1241 | reward 0.084 | solved   0.0%
step  262 | loss -0.0324 | reward 0.197 | solved  12.5%
step  263 | loss +0.0106 | reward 0.094 | solved   0.0%
step  264 | loss -0.0179 | reward 0.144 | solved   6.2%
step  265 | loss +0.0312 | reward 0.141 | solved   6.2%
step  266 | loss +0.0680 | reward 0.150 | solved   6.2%
step  267 | loss +0.0520 | reward 0.097 | solved   0.0%
step  268 | loss +0.0525 | reward 0.072 | solved   0.0%
step  269 | loss +0.0457 | reward 0.319 | solved  25.0%
step  270 | loss -0.0215 | reward 0.153 | solved   6.2%
step  271 | loss +0.0830 | reward 0.088 | solved   0.0%
step  272 | loss +0.0141 | reward 0.094 | solved   0.0%
step  273 | loss -0.0127 | reward 0.138 | solved   6.2%
step  274 | loss +0.0251 | reward 0.150 | solved   6.2%
step  275 | loss +0.0368 | reward 0.125 | solved   6.2%
step  276 | loss +0.0763 | reward 0.078 | solved   0.0%
step  277 | loss +0.0666 | reward 0.203 | solved  12.5%
step  278 | loss +0.0321 | reward 0.072 | solved   0.0%
step  279 | loss +0.0619 | reward 0.094 | solved   0.0%
step  280 | loss +0.0610 | reward 0.194 | solved  12.5%
step  281 | loss +0.0438 | reward 0.097 | solved   0.0%
step  282 | loss +0.0074 | reward 0.088 | solved   0.0%
step  283 | loss -0.0320 | reward 0.094 | solved   0.0%
step  284 | loss -0.0060 | reward 0.056 | solved   0.0%
step  285 | loss -0.0391 | reward 0.078 | solved   0.0%
step  286 | loss +0.0727 | reward 0.203 | solved  12.5%
step  287 | loss +0.0983 | reward 0.091 | solved   0.0%
step  288 | loss +0.0527 | reward 0.141 | solved   6.2%
step  289 | loss +0.0577 | reward 0.088 | solved   0.0%
step  290 | loss +0.1198 | reward 0.094 | solved   0.0%
step  291 | loss +0.0251 | reward 0.091 | solved   0.0%
step  292 | loss +0.0053 | reward 0.088 | solved   0.0%
step  293 | loss +0.0410 | reward 0.088 | solved   0.0%
step  294 | loss +0.0393 | reward 0.094 | solved   0.0%
step  295 | loss -0.0114 | reward 0.078 | solved   0.0%
step  296 | loss +0.0295 | reward 0.081 | solved   0.0%
step  297 | loss +0.0500 | reward 0.097 | solved   0.0%
step  298 | loss +0.0091 | reward 0.081 | solved   0.0%
step  299 | loss +0.0497 | reward 0.203 | solved  12.5%
  checkpoint saved -> model_lr3e6 (step 300)
step  300 | loss +0.0752 | reward 0.134 | solved   6.2%
step  301 | loss +0.0238 | reward 0.266 | solved  18.8%
step  302 | loss +0.0476 | reward 0.138 | solved   6.2%
step  303 | loss +0.0290 | reward 0.094 | solved   0.0%
step  304 | loss +0.0665 | reward 0.078 | solved   0.0%
step  305 | loss +0.0142 | reward 0.072 | solved   0.0%
step  306 | loss -0.0127 | reward 0.088 | solved   0.0%
step  307 | loss -0.0305 | reward 0.097 | solved   0.0%
step  308 | loss -0.0061 | reward 0.319 | solved  25.0%
step  309 | loss +0.0727 | reward 0.138 | solved   6.2%
step  310 | loss +0.0475 | reward 0.097 | solved   0.0%
step  311 | loss +0.0255 | reward 0.094 | solved   0.0%
step  312 | loss +0.0379 | reward 0.097 | solved   0.0%
step  313 | loss +0.0861 | reward 0.075 | solved   0.0%
step  314 | loss +0.1226 | reward 0.091 | solved   0.0%
step  315 | loss -0.0494 | reward 0.075 | solved   0.0%
step  316 | loss -0.0039 | reward 0.084 | solved   0.0%
step  317 | loss +0.0288 | reward 0.188 | solved  12.5%
step  318 | loss -0.0250 | reward 0.075 | solved   0.0%
step  319 | loss +0.0046 | reward 0.091 | solved   0.0%
step  320 | loss +0.1050 | reward 0.066 | solved   0.0%
step  321 | loss +0.0447 | reward 0.088 | solved   0.0%
step  322 | loss +0.0904 | reward 0.075 | solved   0.0%
step  323 | loss +0.0550 | reward 0.081 | solved   0.0%
step  324 | loss -0.0188 | reward 0.072 | solved   0.0%
step  325 | loss +0.1136 | reward 0.069 | solved   0.0%
step  326 | loss +0.0375 | reward 0.134 | solved   6.2%
step  327 | loss +0.0745 | reward 0.088 | solved   0.0%
step  328 | loss +0.1000 | reward 0.138 | solved   6.2%
step  329 | loss +0.0551 | reward 0.084 | solved   0.0%
step  330 | loss +0.0797 | reward 0.194 | solved  12.5%
step  331 | loss +0.0482 | reward 0.088 | solved   0.0%
step  332 | loss +0.0206 | reward 0.209 | solved  12.5%
step  333 | loss -0.0262 | reward 0.091 | solved   0.0%
step  334 | loss -0.0166 | reward 0.091 | solved   0.0%
step  335 | loss +0.0057 | reward 0.091 | solved   0.0%
step  336 | loss +0.0606 | reward 0.094 | solved   0.0%
step  337 | loss +0.0006 | reward 0.088 | solved   0.0%
step  338 | loss -0.0027 | reward 0.194 | solved  12.5%
step  339 | loss +0.0358 | reward 0.094 | solved   0.0%
step  340 | loss +0.0075 | reward 0.094 | solved   0.0%
step  341 | loss +0.0016 | reward 0.197 | solved  12.5%
step  342 | loss +0.0383 | reward 0.097 | solved   0.0%
step  343 | loss +0.0339 | reward 0.053 | solved   0.0%
step  344 | loss +0.0077 | reward 0.431 | solved  37.5%
step  345 | loss +0.0165 | reward 0.075 | solved   0.0%
step  346 | loss +0.0080 | reward 0.078 | solved   0.0%
step  347 | loss +0.0255 | reward 0.078 | solved   0.0%
step  348 | loss +0.0942 | reward 0.081 | solved   0.0%
step  349 | loss +0.0503 | reward 0.094 | solved   0.0%
step  350 | loss +0.0407 | reward 0.075 | solved   0.0%
step  351 | loss +0.0041 | reward 0.072 | solved   0.0%
step  352 | loss +0.0256 | reward 0.075 | solved   0.0%
step  353 | loss +0.0593 | reward 0.206 | solved  12.5%
step  354 | loss +0.0350 | reward 0.091 | solved   0.0%
step  355 | loss -0.0255 | reward 0.084 | solved   0.0%
step  356 | loss +0.0214 | reward 0.097 | solved   0.0%
step  357 | loss +0.0108 | reward 0.091 | solved   0.0%
step  358 | loss -0.0296 | reward 0.091 | solved   0.0%
step  359 | loss +0.0281 | reward 0.075 | solved   0.0%
step  360 | loss +0.1019 | reward 0.084 | solved   0.0%
step  361 | loss +0.0514 | reward 0.081 | solved   0.0%
step  362 | loss +0.0232 | reward 0.256 | solved  18.8%
step  363 | loss -0.0319 | reward 0.066 | solved   0.0%
step  364 | loss +0.0267 | reward 0.088 | solved   0.0%
step  365 | loss -0.0111 | reward 0.078 | solved   0.0%
step  366 | loss +0.0253 | reward 0.203 | solved  12.5%
step  367 | loss +0.0152 | reward 0.088 | solved   0.0%
step  368 | loss -0.0524 | reward 0.091 | solved   0.0%
step  369 | loss +0.0403 | reward 0.097 | solved   0.0%
step  370 | loss +0.0290 | reward 0.131 | solved   6.2%
step  371 | loss -0.0017 | reward 0.088 | solved   0.0%
step  372 | loss +0.0233 | reward 0.088 | solved   0.0%
step  373 | loss +0.0399 | reward 0.147 | solved   6.2%
step  374 | loss -0.0266 | reward 0.075 | solved   0.0%
step  375 | loss +0.0036 | reward 0.153 | solved   6.2%
