Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  276 | loss +0.0380 | reward 0.069 | solved   0.0%
step  277 | loss +0.0252 | reward 0.434 | solved  37.5%
step  278 | loss +0.1667 | reward 0.075 | solved   0.0%
step  279 | loss +0.0123 | reward 0.100 | solved   0.0%
step  280 | loss +0.0981 | reward 0.309 | solved  25.0%
step  281 | loss +0.0385 | reward 0.084 | solved   0.0%
step  282 | loss +0.0140 | reward 0.263 | solved  18.8%
step  283 | loss +0.0043 | reward 0.091 | solved   0.0%
step  284 | loss -0.0346 | reward 0.066 | solved   0.0%
step  285 | loss +0.0415 | reward 0.072 | solved   0.0%
step  286 | loss +0.1197 | reward 0.363 | solved  31.2%
step  287 | loss +0.0889 | reward 0.091 | solved   0.0%
step  288 | loss +0.1106 | reward 0.091 | solved   0.0%
step  289 | loss +0.1101 | reward 0.081 | solved   0.0%
step  290 | loss +0.0414 | reward 0.094 | solved   0.0%
step  291 | loss +0.0493 | reward 0.094 | solved   0.0%
step  292 | loss +0.1536 | reward 0.294 | solved  25.0%
step  293 | loss +0.0371 | reward 0.078 | solved   0.0%
step  294 | loss +0.0386 | reward 0.094 | solved   0.0%
step  295 | loss -0.0038 | reward 0.131 | solved   6.2%
step  296 | loss -0.0113 | reward 0.087 | solved   0.0%
step  297 | loss +0.0803 | reward 0.306 | solved  25.0%
step  298 | loss +0.0921 | reward 0.078 | solved   0.0%
step  299 | loss +0.1012 | reward 0.131 | solved   6.2%
step  300 | loss +0.1648 | reward 0.113 | solved   6.2%
step  301 | loss +0.0681 | reward 0.366 | solved  31.2%
step  302 | loss +0.0860 | reward 0.184 | solved  12.5%
step  303 | loss +0.0570 | reward 0.094 | solved   0.0%
step  304 | loss +0.0548 | reward 0.078 | solved   0.0%
step  305 | loss +0.0038 | reward 0.091 | solved   0.0%
step  306 | loss +0.0121 | reward 0.091 | solved   0.0%
step  307 | loss +0.0369 | reward 0.091 | solved   0.0%
step  308 | loss +0.0855 | reward 0.253 | solved  18.8%
step  309 | loss +0.1125 | reward 0.078 | solved   0.0%
step  310 | loss +0.0445 | reward 0.144 | solved   6.2%
step  311 | loss +0.0742 | reward 0.081 | solved   0.0%
step  312 | loss +0.0026 | reward 0.097 | solved   0.0%
step  313 | loss +0.0776 | reward 0.091 | solved   0.0%
step  314 | loss +0.1005 | reward 0.084 | solved   0.0%
step  315 | loss -0.0611 | reward 0.078 | solved   0.0%
step  316 | loss +0.0045 | reward 0.088 | solved   0.0%
step  317 | loss -0.0321 | reward 0.259 | solved  18.8%
step  318 | loss +0.0513 | reward 0.087 | solved   0.0%
step  319 | loss -0.0039 | reward 0.144 | solved   6.2%
step  320 | loss +0.1193 | reward 0.241 | solved  18.8%
step  321 | loss +0.0651 | reward 0.088 | solved   0.0%
step  322 | loss +0.1834 | reward 0.078 | solved   0.0%
step  323 | loss +0.0702 | reward 0.081 | solved   0.0%
step  324 | loss +0.0353 | reward 0.081 | solved   0.0%
step  325 | loss +0.0709 | reward 0.147 | solved   6.2%
step  326 | loss +0.0662 | reward 0.253 | solved  18.8%
step  327 | loss +0.1070 | reward 0.084 | solved   0.0%
step  328 | loss +0.0407 | reward 0.147 | solved   6.2%
step  329 | loss +0.0707 | reward 0.075 | solved   0.0%
step  330 | loss +0.0657 | reward 0.359 | solved  31.2%
