Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  159 | loss +0.3850 | reward 0.056 | solved   0.0%
step  160 | loss -0.0054 | reward 0.059 | solved   0.0%
step  161 | loss +0.0856 | reward 0.053 | solved   0.0%
step  162 | loss +0.6112 | reward 0.050 | solved   0.0%
step  163 | loss +0.0522 | reward 0.050 | solved   0.0%
step  164 | loss +0.0285 | reward 0.053 | solved   0.0%
step  165 | loss +0.0436 | reward 0.062 | solved   0.0%
step  166 | loss +0.3190 | reward 0.041 | solved   0.0%
step  167 | loss -0.2527 | reward 0.056 | solved   0.0%
step  168 | loss +0.0485 | reward 0.050 | solved   0.0%
step  169 | loss +0.5066 | reward 0.047 | solved   0.0%
step  170 | loss +0.1766 | reward 0.056 | solved   0.0%
step  171 | loss +0.0487 | reward 0.056 | solved   0.0%
step  172 | loss +0.3411 | reward 0.044 | solved   0.0%
step  173 | loss +0.0341 | reward 0.041 | solved   0.0%
step  174 | loss +0.0248 | reward 0.059 | solved   0.0%
step  175 | loss +0.0166 | reward 0.059 | solved   0.0%
step  176 | loss +0.3481 | reward 0.059 | solved   0.0%
step  177 | loss +0.0555 | reward 0.053 | solved   0.0%
step  178 | loss +0.0259 | reward 0.047 | solved   0.0%
step  179 | loss +0.0587 | reward 0.088 | solved   0.0%
step  180 | loss +0.0051 | reward 0.056 | solved   0.0%
step  181 | loss +0.1116 | reward 0.109 | solved   6.2%
step  182 | loss +0.0427 | reward 0.056 | solved   0.0%
step  183 | loss +0.0613 | reward 0.047 | solved   0.0%
step  184 | loss +0.0942 | reward 0.044 | solved   0.0%
step  185 | loss +0.0658 | reward 0.041 | solved   0.0%
step  186 | loss +0.1111 | reward 0.056 | solved   0.0%
step  187 | loss +0.4428 | reward 0.059 | solved   0.0%
step  188 | loss +0.0677 | reward 0.062 | solved   0.0%
step  189 | loss +0.3177 | reward 0.062 | solved   0.0%
step  190 | loss +0.0043 | reward 0.112 | solved   6.2%
step  191 | loss +0.0353 | reward 0.062 | solved   0.0%
step  192 | loss +0.0919 | reward 0.072 | solved   0.0%
step  193 | loss +0.0525 | reward 0.069 | solved   0.0%
step  194 | loss -0.0804 | reward 0.056 | solved   0.0%
step  195 | loss +0.5714 | reward 0.053 | solved   0.0%
